ID,Name,Department,GEO,Role,Rising_Star,Will_Relocate,Critical,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_Remote_1,EMP_Engagement_1,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,Gender,Emp_Work_Status2,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Satisfaction,Emp_Competitive_1,Emp_Collaborative_1
1,BRADDY,Operations,US,VP,3,0,1,8,6,0.4,8,8,3,7,3,168,17,0,1,low,M,8,7,7,8,1,6,8,8
2,BORST,Sales,UK,Senior Director,4,0,1,10,8,0.4,9,7,5,10,5,159,13,0,1,low,F,10,7,7,7,4,7,7,7
3,BIRDWELL,Finance,France,Senior Director,1,0,0,2,3,0.4,7,4,1,4,2,40,19,0,0,medium,F,2,1,1,2,2,2,1,2
4,BENT,Human Resources,China,Senior Director,4,0,1,8,7,0.4,9,7,3,8,4,278,16,0,1,high,M,8,7,10,9,5,8,8,10
5,BAZAN,IT,Korea,Director,4,0,1,8,7,0.4,9,9,4,7,6,256,16,0,1,low,F,7,10,7,8,3,7,9,7
6,BANK,Warehouse,Colombia,Director,3,0,0,10,5,0.4,10,7,2,6,4,97,16,0,0,medium,F,1,2,1,1,1,1,1,2
7,BANAS,Operations,Australia,Director,4,1,1,10,8,0.4,10,9,5,10,2,136,14,0,0,high,F,8,7,7,9,2,7,6,9
8,BADE,Sales,Turkey,Director,3,1,1,7,6,0.4,6,7,2,7,4,128,15,0,0,medium,F,5,2,2,2,1,2,1,1
9,AUBREY,Finance,Japan,Director,4,0,1,8,8,0.4,8,8,2,8,3,114,17,0,1,high,M,8,10,7,9,5,8,6,10
10,ARANGO,Human Resources,UK,Director,5,1,1,8,10,0.4,8,9,5,8,2,137,15,0,0,medium,F,9,9,7,9,3,7,9,7
11,AHEARN,IT,China,Senior Manager,5,0,1,7,10,0.4,7,8,3,8,4,242,10,0,0,low,M,7,7,7,10,6,7,6,10
12,ADDIS,Warehouse,Korea,Senior Manager,5,1,1,10,10,0.4,10,9,5,8,4,253,11,0,1,low,F,9,9,9,9,4,8,6,7
13,ZUMWALT,Operations,UK,Senior Manager,5,0,1,10,8,0.4,8,7,5,9,5,269,11,0,1,medium,M,10,9,7,10,2,8,9,10
14,WURTH,Sales,Colombia,Senior Manager,5,0,1,10,9,0.4,10,9,5,10,3,256,11,0,0,medium,F,8,7,9,10,3,7,9,8
15,WILK,Finance,Korea,Senior Manager,5,0,1,8,9,0.4,9,8,3,10,3,280,11,0,1,medium,M,7,8,8,9,5,7,7,8
16,WIDENER,Human Resources,France,Senior Manager,5,0,1,9,8,0.4,9,9,4,8,2,132,10,0,0,medium,F,9,7,8,7,4,7,8,9
17,WAGSTAFF,IT,US,Senior Manager,5,1,1,10,8,0.4,9,8,4,10,3,167,10,0,1,low,F,8,7,10,7,6,8,9,9
18,VELLA,Warehouse,China,Senior Manager,5,0,1,7,10,0.4,6,8,5,8,6,191,10,0,1,medium,F,10,8,10,8,6,8,7,8
19,URRUTIA,Operations,US,Senior Manager,5,1,1,8,10,0.4,10,7,4,8,2,192,14,0,0,high,M,8,7,9,7,6,7,7,8
20,TERWILLIGER,Sales,Australia,Senior Manager,5,0,1,10,8,0.4,8,8,3,9,3,167,13,0,0,low,F,8,10,8,8,2,7,9,9
21,TART,Finance,Australia,Senior Manager,5,1,1,9,10,0.4,8,9,4,8,6,191,12,0,1,medium,M,9,9,8,8,4,8,7,7
22,STEINMAN,Human Resources,Korea,Senior Manager,5,1,1,10,9,0.4,10,8,4,9,2,192,11,0,1,medium,M,9,7,10,10,4,8,6,8
23,STAATS,IT,China,Manager,1,1,0,4,2,0.4,3,6,1,3,2,176,9,1,0,low,M,3,2,2,1,2,2,2,2
24,SLOAT,Warehouse,Korea,Manager,1,0,0,2,1,0.4,3,2,2,3,6,278,9,1,0,low,F,5,1,1,2,2,2,1,4
25,RIVES,Operations,Australia,Manager,1,1,0,6,1,0.4,7,6,2,5,2,159,12,1,0,low,F,3,1,2,2,1,2,1,2
26,RIGGLE,Sales,France,Manager,1,1,0,5,1,0.4,7,7,2,4,3,181,8,1,0,low,M,4,1,2,1,1,2,2,3
27,REVELS,Finance,France,Manager,5,1,1,9,8,0.4,10,7,3,10,5,186,9,0,1,medium,M,8,7,10,10,3,8,8,7
